"","carat","price"
"1",0.17,355
"2",0.16,328
"3",0.17,350
"4",0.18,325
"5",0.25,642
"6",0.16,342
"7",0.15,322
"8",0.19,485
"9",0.21,483
"10",0.15,323
"11",0.18,462
"12",0.28,823
"13",0.16,336
"14",0.2,498
"15",0.23,595
"16",0.29,860
"17",0.12,223
"18",0.26,663
"19",0.25,750
"20",0.27,720
"21",0.18,468
"22",0.16,345
"23",0.17,352
"24",0.16,332
"25",0.17,353
"26",0.18,438
"27",0.17,318
"28",0.18,419
"29",0.17,346
"30",0.15,315
"31",0.17,350
"32",0.32,918
"33",0.32,919
"34",0.15,298
"35",0.16,339
"36",0.16,338
"37",0.23,595
"38",0.23,553
"39",0.17,345
"40",0.33,945
"41",0.25,655
"42",0.35,1086
"43",0.18,443
"44",0.25,678
"45",0.25,675
"46",0.15,287
"47",0.26,693
"48",0.15,316
